query	answer
什么人最会弄虚作假？	魔术师
失恋的黄先生在一个月黑风高的晚上，走上街头，迎面过来飞车，他站在两个车灯中间，车子呼啸而过，人竟毫发无损，为什么	迎面而来的是两辆摩托车，而不是汽车
大富翁快要死了，却担心不成器的儿子坐吃山空，他该怎么办才好	规定他们以后站着吃
拿破仑踏上新大陆第一步后做的事情是什么？	迈二第步
攻城时为什么都要杀个鸡犬不留？	加菜
有三个不是0的数的乘积与它们之和都是一样的，请问这三个数是什么？	1x2x3=61+2+3=6
为什么说光头的人聪明？	聪明绝顶
一个年轻人对别人说：“前天我17岁，但今年我将会19岁。”请问，这可能吗？	可能。因为昨天是除夕夜，也是他18岁的生日。所以他确实能在今年到19岁。
什么人专门给别人颜色看？	画家
一个猎人，一只枪，抢射程100米，有一个狼离猎人200米，猎人和狼都不动，可是猎人却开枪把狼打死了？	枪长一百米
司机上驾驶的车后，第一件事是什么呢？	坐下
“英文”和“俄罗斯文”哪个好学？	英文好学，因为只有两个字。
小王去餐馆打工，第一天就把手烫伤了，结果老板说了一句什么安慰话，就把他吓跑了？	老板说：没关系，过几天就会变成熟手的！
蚯蚓结婚了，可是洞房里只有一只蚯蚓，为什么？	新郎喝倒了。
在“不，仁，王，O，吾”的“O”位置，应当填写“东，南，西，北，中”的哪个字？	应该是西！因为前几个字中分别有一、二、三、五
一块钱可以买几头牛？	九头牛（九牛一毛）。
什么样的井让人害怕？	陷阱
你怎么区分东南西北？	很简单，加顿号
台湾人去夏威夷度假，结果在海边溺水，高喊救命，却没人理他，为什么？	没人听懂中文
大勇不慎掉到水缸里去了，当时周围没有大人，小朋友们急得团团转，怎样才能用最快的方法把大勇救出来？	把缸打破
在不能用手的情况下，怎样才能把桌上的一碗面吃完？	用筷子。
如果苹果没落在牛顿头顶上，会落到哪里？	地上。
洞里有五只老鼠在开会，一只猫跑进去捉了一只，洞里还有几只？	只剩一只，其余四只都吓跑了
什么人是不用电的？	缅甸人
班里一同学唱我的滑板鞋，刚唱到：摩擦摩擦，在这光滑的地上，摩擦，后面一学霸无奈的说：光滑的地板哪来的摩擦。	光滑的地板哪来的摩擦
穿奇装异服的人会最让谁头痛呢？	裁缝
